J052556.05-021601.5 81.483542   -2.267083 0 1 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	2.48871E+00	2.29219E-01	2.63080E+01	5.81534E-01	3.49542E+01	7.40463E-01	3.38166E+01	5.91779E-01	2.30524E+01	4.88338E-01	1.72104E+01	3.17027E-01	9.94267E+00	2.38096E-01	3.11862E+01	1.52235E+00
J052617.32+055817.1 81.572167    5.971417 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.18274E+01	2.61442E-01	1.07127E+01	2.26936E-01	8.56506E+00	2.28773E-01	5.92539E+00	1.36437E-01	4.41561E+00	9.35392E-02	1.40185E+01	2.96966E-01	8.18770E+01	2.26235E+00
J052653.64-100458.1 81.723500  -10.082806 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	3.68543E+01	8.14658E-01	4.39238E+01	8.49562E-01	3.78034E+01	7.31182E-01	4.07302E+01	8.25306E-01	3.87784E+01	7.50041E-01	6.67887E+01	1.04575E+00	1.28577E+02	3.07901E+00
J052945.11+021539.6 82.437958    2.261000 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	7.66458E+01	1.69424E+00	9.33039E+01	2.06247E+00	8.84566E+01	1.71090E+00	7.14359E+01	1.51328E+00	5.55892E+01	9.72791E-01	4.52796E+01	7.50674E-01	1.03362E+02	3.14161E+00
J053047.99-073132.4 82.699958   -7.525667 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	2.01228E+01	4.44811E-01	2.73590E+01	6.04765E-01	2.50225E+01	4.83978E-01	1.91742E+01	4.23842E-01	1.43546E+01	2.64421E-01	2.01699E+01	3.71543E-01	2.24265E+01	1.46655E+00
J053431.70-035151.2 83.632083   -3.864222 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.06681E+02	2.25991E+00	1.29390E+02	3.81352E+00	9.95246E+01	1.83331E+00	6.27360E+01	1.32899E+00	4.05313E+01	7.09283E-01	2.65401E+01	5.37776E-01	4.69421E+01	2.76705E+00
J053839.81-025646.2 84.665875   -2.946167 1 1 1 1 1 1 1 1 1 1.62239E+00	2.98855E-02	5.10475E+00	9.40329E-02	4.33799E+01	1.07877E+00	5.16060E+01	1.09321E+00	4.44970E+01	8.60648E-01	3.59349E+01	7.61238E-01	3.34958E+01	6.47866E-01	5.57575E+01	8.73027E-01	7.11807E+01	2.03235E+00
J053844.06-111411.1 84.683583  -11.236417 1 1 1 1 1 1 1 1 1 5.68793E+01	9.69174E+00	9.33199E+01	9.02483E+00	1.58230E+02	3.35191E+00	1.42004E+02	3.40055E+00	1.23007E+02	2.37917E+00	9.09320E+01	1.92628E+00	8.11690E+01	1.56995E+00	1.77134E+02	2.44720E+00	2.52559E+02	4.65230E+00
J053926.39-021503.3 84.859958   -2.250917 1 1 1 1 1 1 1 1 1 2.76793E+00	2.54935E-01	5.64903E+00	5.20295E-02	2.91668E+01	6.44726E-01	3.69743E+01	9.19474E-01	3.86839E+01	8.55101E-01	4.93306E+01	1.04501E+00	4.57289E+01	8.00239E-01	8.73178E+01	1.28676E+00	1.61125E+02	4.15524E+00
J054006.72-061618.9 85.028000   -6.271917 1 1 1 1 1 1 1 1 1 1.20824E+01	1.11283E+00	1.01853E+01	1.87620E-01	7.53162E+01	1.45674E+00	9.88781E+01	2.27675E+00	9.89761E+01	2.00553E+00	7.54253E+01	1.59779E+00	5.65705E+01	1.04207E+00	6.75932E+01	9.96090E-01	2.25508E+02	5.60792E+00
J054011.76-094211.1 85.049000   -9.703083 1 1 1 1 1 1 1 1 1 5.88511E+01	1.08950E+01	9.76280E+01	1.00709E+01	1.56924E+02	3.46877E+00	2.06966E+02	5.14682E+00	2.98903E+02	6.33190E+00	3.56089E+02	9.23641E+00	3.31276E+02	5.79722E+00	5.90341E+02	7.61214E+00	1.17371E+03	1.83775E+01
J054227.76-100151.2 85.615667  -10.030889 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	1.27905E+02	2.82732E+00	1.88930E+02	4.52427E+00	2.72352E+02	6.52198E+00	3.42184E+02	7.92322E+00	3.06049E+02	5.91950E+00	6.26185E+02	8.65107E+00	1.31814E+03	1.57827E+01
J054330.38+251724.4 85.876583   25.290111 1 1 1 1 1 1 1 1 1 1.81533E+03	4.68153E+01	1.77327E+03	2.61318E+01	1.09771E+03	2.32537E+01	7.17629E+02	1.52021E+01	4.75040E+02	1.18133E+01	3.89576E+02	1.01095E+01	2.62658E+02	4.83834E+00	9.16860E+01	1.35113E+00	5.09521E+01	1.97100E+00
J054733.26+521144.5 86.888583   52.195694 1 1 1 1 1 1 1 1 1 4.05279E+02	1.49310E+01	4.75526E+02	1.00734E+01	4.86730E+02	8.51761E+00	3.39391E+02	7.18958E+00	2.63470E+02	4.36796E+00	1.67154E+02	3.54095E+00	1.19067E+02	2.30295E+00	4.89219E+01	7.20939E-01	3.44161E+01	1.42643E+00
J055417.57-383951.1 88.573208  -38.664194 1 1 1 1 1 1 1 1 1 8.35131E+01	1.69220E+01	6.93065E+01	9.63889E+00	4.76089E+01	1.05239E+00	3.68044E+01	8.81351E-01	3.22352E+01	6.82864E-01	2.91016E+01	6.43285E-01	2.90663E+01	5.35422E-01	3.63331E+01	5.68889E-01	2.74639E+01	1.06240E+00
J055720.57-134921.9 89.335708  -13.822750 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	8.79201E+01	1.86248E+00	1.00069E+02	2.02767E+00	1.02596E+02	1.79539E+00	1.12491E+02	2.27937E+00	8.79408E+01	1.53893E+00	8.78017E+01	1.29389E+00	3.36327E+02	6.81492E+00
J055804.52-141457.4 89.518833  -14.249278 0 0 1 1 1 1 1 1 1 4.00087E+06	0.00000E+00	3.59728E+06	0.00000E+00	4.01503E+01	7.76575E-01	3.03040E+01	6.14042E-01	2.04329E+01	4.89305E-01	1.10438E+01	2.33949E-01	6.70178E+00	1.35797E-01	2.18325E+01	3.82061E-01	4.45823E+01	1.64247E+00
J055924.43-145421.8 89.851792  -14.906056 1 1 1 1 1 1 1 1 1 2.34506E+01	6.47965E+00	3.98084E+01	7.33297E+00	3.29373E+01	7.28074E-01	2.79705E+01	6.18282E-01	2.07363E+01	4.96569E-01	1.83788E+01	3.89332E-01	1.41576E+01	2.47753E-01	2.10234E+01	4.06629E-01	5.57137E+01	1.59074E+00
J060325.99+172444.3 90.858292   17.412306 1 1 1 1 1 1 1 1 1 5.94504E+02	2.08072E+01	6.52791E+02	1.32273E+01	5.46624E+02	9.56572E+00	4.00959E+02	9.97102E+00	2.95890E+02	1.28087E+01	2.01781E+02	4.10080E+00	1.39891E+02	2.70574E+00	4.80732E+01	7.52710E-01	2.43872E+01	1.48246E+00
J062612.83+473232.1 96.553458   47.542250 1 1 1 1 1 1 1 1 1 8.75295E+01	1.12059E+01	1.06066E+02	8.59672E+00	1.03678E+02	1.90983E+00	1.00531E+02	1.66666E+00	1.23803E+02	2.28053E+00	2.54706E+02	5.65350E+00	3.27635E+02	6.33702E+00	4.68061E+02	6.03541E+00	4.46233E+02	7.80893E+00
