   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
3100,3,-34.251,-31.845,-32.346,-30.179,-32.11,-32.534,-34.917,-35.95,-37.751,-38.497,-38.684,-38.692,-38.926,-39.077,-39.209
3100,3.5,-34.411,-32.063,-32.646,-30.332,-32.364,-32.786,-35.089,-36.064,-37.757,-38.393,-38.623,-38.701,-38.939,-39.089,-39.215
3100,4,-34.525,-32.155,-32.931,-30.289,-32.51,-33.121,-35.206,-36.116,-37.736,-38.328,-38.586,-38.721,-38.953,-39.112,-39.228
3100,4.5,-34.611,-32.194,-33.139,-30.124,-32.597,-33.387,-35.288,-36.153,-37.731,-38.314,-38.581,-38.743,-38.96,-39.128,-39.234
3100,5,-34.61,-32.101,-33.146,-29.786,-32.544,-33.416,-35.286,-36.153,-37.717,-38.303,-38.572,-38.739,-38.937,-39.111,-39.207
3100,5.5,-34.622,-31.996,-33.161,-29.375,-32.482,-33.481,-35.294,-36.166,-37.716,-38.316,-38.576,-38.744,-38.915,-39.101,-39.188
3200,2.5,-34.313,-31.898,-32.497,-30.113,-32.185,-32.747,-34.984,-35.978,-37.798,-38.695,-38.88,-38.84,-39.007,-39.147,-39.266
3200,3,-34.468,-32.16,-32.742,-30.38,-32.453,-32.929,-35.144,-36.1,-37.837,-38.642,-38.823,-38.806,-39.002,-39.135,-39.258
3200,3.5,-34.632,-32.394,-33.034,-30.593,-32.712,-33.176,-35.314,-36.217,-37.853,-38.537,-38.753,-38.798,-39.009,-39.14,-39.259
3200,4,-34.757,-32.512,-33.319,-30.609,-32.873,-33.512,-35.436,-36.277,-37.841,-38.462,-38.704,-38.808,-39.019,-39.16,-39.272
3200,4.5,-34.854,-32.574,-33.551,-30.519,-32.978,-33.809,-35.524,-36.311,-37.827,-38.423,-38.681,-38.826,-39.028,-39.18,-39.283
3200,5,-34.867,-32.516,-33.593,-30.267,-32.954,-33.879,-35.534,-36.313,-37.812,-38.402,-38.664,-38.822,-39.011,-39.169,-39.264
3200,5.5,-34.905,-32.468,-33.659,-29.963,-32.943,-33.995,-35.566,-36.335,-37.818,-38.417,-38.672,-38.834,-39,-39.168,-39.255
3300,2.5,-34.549,-32.251,-32.902,-30.32,-32.57,-33.105,-35.231,-36.145,-37.881,-38.81,-39.005,-38.968,-39.082,-39.217,-39.319
3300,3,-34.687,-32.477,-33.141,-30.571,-32.8,-33.325,-35.368,-36.244,-37.916,-38.771,-38.953,-38.927,-39.078,-39.204,-39.314
3300,3.5,-34.839,-32.697,-33.4,-30.809,-33.033,-33.553,-35.52,-36.354,-37.941,-38.678,-38.88,-38.9,-39.077,-39.196,-39.306
3300,4,-34.984,-32.846,-33.704,-30.894,-33.217,-33.909,-35.655,-36.424,-37.934,-38.579,-38.814,-38.902,-39.088,-39.216,-39.321
3300,4.5,-35.076,-32.914,-33.906,-30.859,-33.319,-34.163,-35.735,-36.458,-37.925,-38.535,-38.782,-38.905,-39.091,-39.227,-39.326
3300,5,-35.118,-32.905,-33.997,-30.691,-33.338,-34.292,-35.77,-36.473,-37.918,-38.514,-38.764,-38.905,-39.081,-39.223,-39.315
3300,5.5,-35.149,-32.859,-34.061,-30.443,-33.325,-34.405,-35.793,-36.482,-37.911,-38.509,-38.759,-38.912,-39.07,-39.224,-39.309
3400,2.5,-34.807,-32.645,-33.356,-30.557,-32.995,-33.492,-35.493,-36.324,-37.966,-38.907,-39.111,-39.088,-39.148,-39.283,-39.367
3400,3,-34.918,-32.815,-33.553,-30.781,-33.163,-33.723,-35.596,-36.392,-37.997,-38.884,-39.07,-39.045,-39.146,-39.27,-39.365
3400,3.5,-35.041,-33.002,-33.742,-31.039,-33.35,-33.88,-35.717,-36.489,-38.028,-38.808,-39.001,-39.001,-39.14,-39.249,-39.349
3400,4,-35.204,-33.159,-34.071,-31.144,-33.542,-34.291,-35.861,-36.56,-38.022,-38.7,-38.927,-39.002,-39.154,-39.276,-39.372
3400,4.5,-35.304,-33.246,-34.269,-31.17,-33.653,-34.538,-35.945,-36.6,-38.019,-38.647,-38.887,-38.996,-39.156,-39.283,-39.376
3400,5,-35.336,-33.229,-34.344,-31.053,-33.66,-34.652,-35.967,-36.603,-38.001,-38.603,-38.848,-38.981,-39.143,-39.276,-39.364
3400,5.5,-35.397,-33.24,-34.447,-30.898,-33.698,-34.797,-36.018,-36.631,-38.012,-38.61,-38.852,-38.993,-39.14,-39.281,-39.363
3500,2.5,-35.079,-33.059,-33.844,-30.813,-33.435,-33.929,-35.759,-36.5,-38.057,-38.989,-39.197,-39.192,-39.206,-39.343,-39.409
3500,3,-35.179,-33.183,-34.031,-30.99,-33.561,-34.2,-35.843,-36.543,-38.073,-38.979,-39.168,-39.155,-39.207,-39.336,-39.414
3500,3.5,-35.313,-33.329,-34.259,-31.17,-33.718,-34.486,-35.959,-36.613,-38.091,-38.912,-39.107,-39.124,-39.211,-39.341,-39.424
3500,4,-35.417,-33.457,-34.42,-31.367,-33.85,-34.65,-36.055,-36.685,-38.106,-38.818,-39.037,-39.098,-39.213,-39.332,-39.417
3500,4.5,-35.509,-33.533,-34.588,-31.436,-33.944,-34.866,-36.129,-36.722,-38.1,-38.742,-38.978,-39.079,-39.212,-39.334,-39.419
3500,5,-35.555,-33.546,-34.675,-31.386,-33.974,-34.99,-36.163,-36.736,-38.092,-38.7,-38.94,-39.062,-39.203,-39.328,-39.411
3500,5.5,-35.606,-33.552,-34.76,-31.267,-34.003,-35.112,-36.204,-36.757,-38.098,-38.695,-38.933,-39.065,-39.198,-39.329,-39.408
3600,2.5,-35.402,-33.493,-34.439,-31.061,-33.906,-34.553,-36.048,-36.667,-38.134,-39.056,-39.264,-39.281,-39.256,-39.405,-39.454
3600,3,-35.459,-33.567,-34.523,-31.228,-33.971,-34.699,-36.092,-36.692,-38.15,-39.059,-39.25,-39.251,-39.259,-39.395,-39.457
3600,3.5,-35.542,-33.65,-34.643,-31.383,-34.055,-34.871,-36.161,-36.737,-38.167,-39.013,-39.203,-39.215,-39.261,-39.391,-39.461
3600,4,-35.627,-33.746,-34.756,-31.579,-34.149,-34.996,-36.239,-36.803,-38.187,-38.934,-39.14,-39.188,-39.265,-39.383,-39.455
3600,4.5,-35.722,-33.825,-34.911,-31.691,-34.241,-35.2,-36.315,-36.845,-38.186,-38.845,-39.074,-39.167,-39.267,-39.387,-39.46
3600,5,-35.778,-33.859,-34.997,-31.693,-34.286,-35.318,-36.359,-36.872,-38.19,-38.806,-39.039,-39.148,-39.262,-39.38,-39.454
3600,5.5,-35.816,-33.854,-35.063,-31.621,-34.298,-35.421,-36.386,-36.88,-38.184,-38.78,-39.014,-39.14,-39.256,-39.381,-39.454
3700,2.5,-35.701,-33.871,-34.95,-31.303,-34.308,-35.123,-36.297,-36.801,-38.207,-39.112,-39.314,-39.343,-39.294,-39.448,-39.489
3700,3,-35.546,-33.689,-34.668,-31.303,-34.098,-34.852,-36.166,-36.736,-38.179,-39.091,-39.278,-39.276,-39.274,-39.408,-39.466
3700,3.5,-35.769,-33.962,-35.009,-31.615,-34.377,-35.242,-36.354,-36.857,-38.242,-39.1,-39.283,-39.297,-39.305,-39.435,-39.493
3700,4,-35.828,-34.022,-35.068,-31.793,-34.431,-35.318,-36.411,-36.914,-38.264,-39.034,-39.228,-39.267,-39.309,-39.426,-39.487
3700,4.5,-35.923,-34.098,-35.206,-31.924,-34.516,-35.504,-36.487,-36.961,-38.27,-38.948,-39.165,-39.247,-39.315,-39.432,-39.495
3700,5,-35.99,-34.147,-35.3,-31.979,-34.573,-35.631,-36.54,-36.994,-38.277,-38.9,-39.126,-39.23,-39.316,-39.432,-39.496
3700,5.5,-36.03,-34.154,-35.361,-31.956,-34.593,-35.723,-36.571,-37.008,-38.276,-38.873,-39.102,-39.22,-39.313,-39.433,-39.497
3800,2.5,-35.957,-34.201,-35.336,-31.598,-34.644,-35.544,-36.504,-36.932,-38.292,-39.165,-39.36,-39.397,-39.331,-39.484,-39.515
3800,3,-35.977,-34.242,-35.346,-31.756,-34.672,-35.571,-36.522,-36.952,-38.307,-39.179,-39.363,-39.388,-39.341,-39.483,-39.52
3800,3.5,-35.99,-34.261,-35.342,-31.864,-34.681,-35.585,-36.536,-36.973,-38.321,-39.173,-39.351,-39.367,-39.344,-39.474,-39.519
3800,4,-36.029,-34.295,-35.367,-32.009,-34.708,-35.627,-36.577,-37.022,-38.343,-39.124,-39.307,-39.338,-39.349,-39.466,-39.515
3800,4.5,-36.107,-34.344,-35.468,-32.137,-34.764,-35.775,-36.641,-37.064,-38.346,-39.042,-39.245,-39.316,-39.356,-39.472,-39.524
3800,5,-36.171,-34.388,-35.551,-32.218,-34.814,-35.89,-36.693,-37.097,-38.352,-38.98,-39.199,-39.299,-39.359,-39.476,-39.53
3800,5.5,-36.202,-34.392,-35.592,-32.218,-34.826,-35.955,-36.718,-37.112,-38.353,-38.948,-39.171,-39.284,-39.356,-39.474,-39.53
3900,2.5,-36.192,-34.492,-35.662,-31.9,-34.936,-35.914,-36.691,-37.054,-38.376,-39.213,-39.399,-39.439,-39.365,-39.515,-39.539
3900,3,-36.21,-34.532,-35.675,-32.047,-34.965,-35.937,-36.707,-37.07,-38.387,-39.229,-39.406,-39.438,-39.376,-39.518,-39.546
3900,3.5,-36.211,-34.547,-35.656,-32.139,-34.969,-35.919,-36.714,-37.089,-38.401,-39.234,-39.405,-39.426,-39.382,-39.511,-39.545
3900,4,-36.235,-34.558,-35.666,-32.227,-34.977,-35.949,-36.741,-37.121,-38.415,-39.203,-39.375,-39.404,-39.386,-39.506,-39.546
3900,4.5,-36.288,-34.588,-35.716,-32.359,-35.006,-36.028,-36.79,-37.166,-38.425,-39.135,-39.323,-39.381,-39.394,-39.509,-39.549
3900,5,-36.344,-34.62,-35.782,-32.449,-35.043,-36.125,-36.838,-37.199,-38.429,-39.064,-39.271,-39.363,-39.399,-39.514,-39.557
3900,5.5,-36.376,-34.626,-35.82,-32.486,-35.056,-36.187,-36.863,-37.214,-38.427,-39.019,-39.236,-39.348,-39.4,-39.518,-39.564
4000,2.5,-36.411,-34.761,-35.946,-32.222,-35.201,-36.241,-36.862,-37.171,-38.459,-39.259,-39.436,-39.477,-39.398,-39.544,-39.563
4000,3,-36.422,-34.797,-35.952,-32.354,-35.227,-36.247,-36.875,-37.185,-38.468,-39.276,-39.445,-39.479,-39.41,-39.548,-39.571
4000,3.5,-36.418,-34.809,-35.934,-32.426,-35.23,-36.221,-36.879,-37.2,-38.479,-39.284,-39.448,-39.474,-39.417,-39.545,-39.571
4000,4,-36.426,-34.813,-35.925,-32.477,-35.23,-36.218,-36.893,-37.224,-38.492,-39.273,-39.436,-39.46,-39.421,-39.539,-39.569
4000,4.5,-36.459,-34.825,-35.946,-32.578,-35.24,-36.26,-36.931,-37.264,-38.504,-39.221,-39.394,-39.44,-39.428,-39.54,-39.571
4000,5,-36.521,-34.857,-36.015,-32.687,-35.277,-36.362,-36.984,-37.301,-38.509,-39.156,-39.347,-39.427,-39.439,-39.554,-39.587
4000,5.5,-36.549,-34.859,-36.043,-32.786,-35.283,-36.414,-37.008,-37.317,-38.494,-39.064,-39.279,-39.404,-39.444,-39.568,-39.602
4100,2.5,-36.614,-35.017,-36.196,-32.572,-35.45,-36.526,-37.022,-37.288,-38.542,-39.303,-39.47,-39.511,-39.433,-39.573,-39.59
4100,3,-36.611,-35.001,-36.144,-32.703,-35.396,-36.519,-37.038,-37.31,-38.557,-39.322,-39.482,-39.518,-39.447,-39.581,-39.599
4100,3.5,-36.606,-34.999,-36.124,-32.749,-35.388,-36.503,-37.042,-37.319,-38.563,-39.334,-39.489,-39.518,-39.454,-39.58,-39.6
4100,4,-36.605,-34.994,-36.103,-32.776,-35.378,-36.484,-37.052,-37.337,-38.576,-39.335,-39.489,-39.514,-39.459,-39.578,-39.6
4100,4.5,-36.624,-34.996,-36.105,-32.834,-35.377,-36.497,-37.08,-37.373,-38.59,-39.306,-39.464,-39.501,-39.466,-39.578,-39.6
4100,5,-36.663,-35.001,-36.141,-32.925,-35.385,-36.557,-37.117,-37.402,-38.589,-39.239,-39.415,-39.485,-39.477,-39.592,-39.616
4100,5.5,-36.686,-35.005,-36.158,-32.977,-35.39,-36.589,-37.142,-37.425,-38.592,-39.191,-39.38,-39.471,-39.481,-39.595,-39.622
4200,2.5,-36.792,-35.258,-36.41,-32.928,-35.681,-36.749,-37.167,-37.401,-38.624,-39.345,-39.502,-39.543,-39.467,-39.601,-39.617
4200,3,-36.788,-35.248,-36.365,-33.034,-35.636,-36.739,-37.18,-37.42,-38.636,-39.363,-39.515,-39.551,-39.479,-39.608,-39.623
4200,3.5,-36.79,-35.25,-36.356,-33.087,-35.633,-36.739,-37.188,-37.428,-38.641,-39.374,-39.522,-39.553,-39.488,-39.611,-39.628
4200,4,-36.782,-35.238,-36.33,-33.077,-35.616,-36.713,-37.193,-37.44,-38.651,-39.383,-39.528,-39.554,-39.492,-39.608,-39.624
4200,4.5,-36.79,-35.226,-36.32,-33.088,-35.602,-36.713,-37.212,-37.465,-38.662,-39.368,-39.516,-39.547,-39.498,-39.608,-39.625
4200,5,-36.817,-35.225,-36.337,-33.156,-35.603,-36.746,-37.244,-37.497,-38.667,-39.321,-39.481,-39.535,-39.509,-39.619,-39.636
4200,5.5,-36.84,-35.227,-36.353,-33.218,-35.606,-36.774,-37.27,-37.522,-38.67,-39.273,-39.447,-39.523,-39.516,-39.627,-39.647
4300,2.5,-36.952,-35.488,-36.602,-33.273,-35.901,-36.93,-37.301,-37.513,-38.704,-39.387,-39.535,-39.574,-39.501,-39.628,-39.642
4300,3,-36.95,-35.484,-36.566,-33.362,-35.864,-36.927,-37.313,-37.528,-38.714,-39.403,-39.547,-39.582,-39.511,-39.634,-39.647
4300,3.5,-36.957,-35.491,-36.563,-33.426,-35.865,-36.934,-37.322,-37.535,-38.718,-39.414,-39.554,-39.585,-39.523,-39.639,-39.654
4300,4,-36.949,-35.474,-36.539,-33.395,-35.845,-36.916,-37.326,-37.543,-38.725,-39.424,-39.562,-39.588,-39.525,-39.636,-39.65
4300,4.5,-36.95,-35.457,-36.525,-33.377,-35.826,-36.911,-37.338,-37.559,-38.734,-39.422,-39.56,-39.587,-39.53,-39.637,-39.652
4300,5,-36.969,-35.451,-36.53,-33.405,-35.821,-36.928,-37.368,-37.59,-38.744,-39.394,-39.539,-39.58,-39.54,-39.645,-39.658
4300,5.5,-36.983,-35.437,-36.532,-33.45,-35.809,-36.941,-37.389,-37.614,-38.744,-39.343,-39.503,-39.568,-39.548,-39.654,-39.668
4400,2.5,-37.094,-35.695,-36.772,-33.567,-36.098,-37.082,-37.424,-37.617,-38.78,-39.426,-39.567,-39.605,-39.529,-39.652,-39.661
4400,3,-37.1,-35.706,-36.751,-33.682,-36.078,-37.091,-37.438,-37.63,-38.789,-39.442,-39.578,-39.612,-39.543,-39.66,-39.671
4400,3.5,-37.105,-35.712,-36.745,-33.722,-36.078,-37.096,-37.446,-37.637,-38.794,-39.455,-39.587,-39.617,-39.552,-39.661,-39.673
4400,4,-37.104,-35.701,-36.731,-33.714,-36.063,-37.092,-37.452,-37.644,-38.798,-39.462,-39.593,-39.62,-39.558,-39.663,-39.676
4400,4.5,-37.102,-35.682,-36.714,-33.678,-36.043,-37.087,-37.46,-37.654,-38.805,-39.468,-39.598,-39.621,-39.562,-39.664,-39.678
4400,5,-37.112,-35.664,-36.708,-33.662,-36.026,-37.092,-37.482,-37.679,-38.815,-39.451,-39.586,-39.618,-39.569,-39.669,-39.679
4400,5.5,-37.121,-35.643,-36.704,-33.686,-36.008,-37.1,-37.502,-37.702,-38.815,-39.409,-39.555,-39.609,-39.578,-39.679,-39.689
4500,2.5,-37.241,-35.908,-36.944,-33.905,-36.3,-37.236,-37.549,-37.723,-38.857,-39.464,-39.598,-39.634,-39.563,-39.68,-39.689
4500,3,-37.242,-35.916,-36.924,-33.991,-36.282,-37.241,-37.556,-37.73,-38.861,-39.479,-39.608,-39.641,-39.574,-39.685,-39.695
4500,3.5,-37.244,-35.921,-36.916,-34.03,-36.279,-37.243,-37.561,-37.734,-38.863,-39.49,-39.616,-39.644,-39.583,-39.687,-39.698
4500,4,-37.249,-35.919,-36.91,-34.028,-36.273,-37.248,-37.572,-37.743,-38.87,-39.5,-39.624,-39.649,-39.59,-39.689,-39.701
4500,4.5,-37.247,-35.898,-36.893,-33.985,-36.252,-37.246,-37.578,-37.75,-38.875,-39.506,-39.629,-39.651,-39.593,-39.69,-39.703
4500,5,-37.249,-35.874,-36.88,-33.942,-36.229,-37.247,-37.592,-37.765,-38.882,-39.501,-39.627,-39.652,-39.599,-39.693,-39.706
4500,5.5,-37.264,-35.862,-36.881,-33.938,-36.217,-37.26,-37.619,-37.794,-38.891,-39.477,-39.61,-39.649,-39.609,-39.702,-39.709
4600,2.5,-37.371,-36.099,-37.097,-34.21,-36.48,-37.372,-37.66,-37.819,-38.925,-39.499,-39.627,-39.661,-39.598,-39.704,-39.712
4600,3,-37.376,-36.115,-37.086,-34.287,-36.473,-37.379,-37.669,-37.826,-38.93,-39.514,-39.637,-39.668,-39.605,-39.71,-39.719
4600,3.5,-37.376,-36.118,-37.077,-34.323,-36.47,-37.379,-37.671,-37.828,-38.931,-39.524,-39.644,-39.671,-39.614,-39.712,-39.724
4600,4,-37.385,-36.122,-37.075,-34.323,-36.47,-37.389,-37.685,-37.838,-38.939,-39.536,-39.654,-39.677,-39.62,-39.714,-39.725
4600,4.5,-37.382,-36.104,-37.059,-34.277,-36.449,-37.388,-37.69,-37.843,-38.943,-39.543,-39.66,-39.68,-39.624,-39.715,-39.726
4600,5,-37.383,-36.081,-37.046,-34.222,-36.427,-37.391,-37.701,-37.854,-38.949,-39.545,-39.663,-39.683,-39.628,-39.716,-39.728
4600,5.5,-37.392,-36.058,-37.038,-34.186,-36.406,-37.398,-37.721,-37.876,-38.957,-39.53,-39.653,-39.682,-39.636,-39.723,-39.731
4700,2.5,-37.494,-36.278,-37.24,-34.493,-36.647,-37.498,-37.766,-37.91,-38.99,-39.534,-39.655,-39.687,-39.627,-39.728,-39.736
4700,3,-37.504,-36.301,-37.238,-34.568,-36.653,-37.509,-37.777,-37.918,-38.996,-39.548,-39.665,-39.695,-39.635,-39.734,-39.743
4700,3.5,-37.505,-36.309,-37.232,-34.609,-36.654,-37.51,-37.78,-37.921,-38.997,-39.557,-39.672,-39.698,-39.645,-39.737,-39.749
4700,4,-37.513,-36.313,-37.23,-34.604,-36.653,-37.52,-37.791,-37.929,-39.004,-39.569,-39.682,-39.704,-39.65,-39.738,-39.749
4700,4.5,-37.513,-36.299,-37.218,-34.564,-36.638,-37.522,-37.798,-37.935,-39.009,-39.576,-39.688,-39.707,-39.655,-39.74,-39.75
4700,5,-37.513,-36.278,-37.204,-34.501,-36.616,-37.525,-37.806,-37.943,-39.014,-39.581,-39.693,-39.711,-39.658,-39.74,-39.751
4700,5.5,-37.515,-36.251,-37.191,-34.442,-36.59,-37.529,-37.821,-37.957,-39.021,-39.575,-39.69,-39.712,-39.664,-39.744,-39.753
4800,2.5,-37.616,-36.453,-37.379,-34.772,-36.812,-37.621,-37.871,-38,-39.054,-39.568,-39.683,-39.712,-39.657,-39.752,-39.76
4800,3,-37.626,-36.479,-37.382,-34.84,-36.824,-37.632,-37.881,-38.008,-39.06,-39.581,-39.694,-39.721,-39.665,-39.759,-39.767
4800,3.5,-37.624,-36.483,-37.373,-34.871,-36.821,-37.63,-37.88,-38.007,-39.059,-39.59,-39.699,-39.723,-39.673,-39.761,-39.772
4800,4,-37.633,-36.489,-37.373,-34.865,-36.823,-37.641,-37.892,-38.015,-39.066,-39.601,-39.709,-39.729,-39.679,-39.762,-39.771
4800,4.5,-37.636,-36.482,-37.366,-34.834,-36.814,-37.647,-37.9,-38.023,-39.071,-39.608,-39.715,-39.733,-39.684,-39.763,-39.773
4800,5,-37.636,-36.464,-37.353,-34.771,-36.795,-37.65,-37.908,-38.029,-39.076,-39.615,-39.722,-39.737,-39.687,-39.764,-39.774
4800,5.5,-37.642,-36.447,-37.345,-34.707,-36.778,-37.659,-37.922,-38.042,-39.086,-39.621,-39.728,-39.741,-39.691,-39.765,-39.775
4900,2.5,-37.733,-36.623,-37.512,-35.038,-36.97,-37.74,-37.972,-38.086,-39.115,-39.601,-39.711,-39.737,-39.685,-39.775,-39.782
4900,3,-37.742,-36.646,-37.516,-35.096,-36.983,-37.749,-37.979,-38.093,-39.12,-39.613,-39.721,-39.746,-39.693,-39.782,-39.789
4900,3.5,-37.746,-36.657,-37.516,-35.129,-36.989,-37.753,-37.983,-38.095,-39.123,-39.623,-39.728,-39.75,-39.702,-39.784,-39.793
4900,4,-37.751,-36.661,-37.513,-35.124,-36.989,-37.76,-37.991,-38.101,-39.127,-39.633,-39.736,-39.755,-39.708,-39.785,-39.794
4900,4.5,-37.751,-36.652,-37.503,-35.085,-36.977,-37.762,-37.996,-38.104,-39.13,-39.64,-39.742,-39.758,-39.712,-39.786,-39.795
4900,5,-37.754,-36.639,-37.494,-35.029,-36.963,-37.768,-38.005,-38.112,-39.136,-39.646,-39.748,-39.762,-39.716,-39.786,-39.796
4900,5.5,-37.754,-36.616,-37.48,-34.952,-36.94,-37.772,-38.014,-38.119,-39.142,-39.651,-39.754,-39.766,-39.719,-39.787,-39.795
5000,2.5,-37.834,-36.773,-37.627,-35.284,-37.109,-37.84,-38.057,-38.158,-39.163,-39.625,-39.73,-39.753,-39.709,-39.788,-39.797
5000,3,-37.853,-36.805,-37.643,-35.341,-37.134,-37.859,-38.073,-38.173,-39.178,-39.646,-39.748,-39.77,-39.721,-39.804,-39.812
5000,3.5,-37.856,-36.816,-37.643,-35.371,-37.14,-37.863,-38.077,-38.175,-39.18,-39.654,-39.754,-39.774,-39.73,-39.806,-39.815
5000,4,-37.863,-36.821,-37.644,-35.367,-37.143,-37.87,-38.085,-38.182,-39.185,-39.663,-39.762,-39.78,-39.736,-39.808,-39.816
5000,4.5,-37.864,-36.816,-37.637,-35.332,-37.135,-37.875,-38.09,-38.185,-39.189,-39.671,-39.769,-39.783,-39.74,-39.808,-39.817
5000,5,-37.866,-36.803,-37.628,-35.275,-37.122,-37.88,-38.098,-38.191,-39.193,-39.677,-39.775,-39.787,-39.744,-39.809,-39.817
5000,5.5,-37.865,-36.782,-37.614,-35.202,-37.1,-37.883,-38.105,-38.198,-39.198,-39.681,-39.779,-39.79,-39.747,-39.81,-39.818
5100,2.5,-37.942,-36.929,-37.749,-35.519,-37.255,-37.948,-38.149,-38.237,-39.219,-39.656,-39.756,-39.777,-39.736,-39.81,-39.818
5100,3,-37.959,-36.958,-37.764,-35.571,-37.278,-37.964,-38.164,-38.25,-39.233,-39.676,-39.774,-39.793,-39.748,-39.826,-39.833
5100,3.5,-37.962,-36.967,-37.764,-35.598,-37.284,-37.967,-38.166,-38.252,-39.235,-39.685,-39.781,-39.797,-39.756,-39.827,-39.836
5100,4,-37.97,-36.974,-37.767,-35.6,-37.289,-37.976,-38.175,-38.259,-39.241,-39.693,-39.788,-39.803,-39.763,-39.83,-39.838
5100,4.5,-37.97,-36.968,-37.761,-35.564,-37.282,-37.98,-38.179,-38.262,-39.243,-39.7,-39.794,-39.807,-39.766,-39.83,-39.838
5100,5,-37.974,-36.96,-37.755,-35.512,-37.273,-37.987,-38.187,-38.268,-39.249,-39.707,-39.801,-39.811,-39.771,-39.831,-39.839
5100,5.5,-37.973,-36.943,-37.742,-35.432,-37.255,-37.99,-38.193,-38.272,-39.253,-39.715,-39.808,-39.814,-39.772,-39.83,-39.837
5200,2.5,-38.053,-37.086,-37.872,-35.732,-37.401,-38.058,-38.245,-38.321,-39.282,-39.695,-39.79,-39.808,-39.765,-39.841,-39.849
5200,3,-38.061,-37.106,-37.879,-35.789,-37.416,-38.066,-38.25,-38.325,-39.286,-39.706,-39.799,-39.816,-39.775,-39.847,-39.855
5200,3.5,-38.063,-37.112,-37.879,-35.813,-37.421,-38.068,-38.251,-38.325,-39.288,-39.715,-39.806,-39.82,-39.782,-39.848,-39.856
5200,4,-38.07,-37.118,-37.882,-35.818,-37.426,-38.076,-38.259,-38.332,-39.293,-39.723,-39.813,-39.826,-39.788,-39.851,-39.86
5200,4.5,-38.072,-37.115,-37.879,-35.786,-37.422,-38.08,-38.264,-38.335,-39.296,-39.73,-39.82,-39.83,-39.792,-39.852,-39.859
5200,5,-38.077,-37.109,-37.875,-35.74,-37.415,-38.088,-38.273,-38.342,-39.302,-39.736,-39.826,-39.834,-39.797,-39.853,-39.861
5200,5.5,-38.079,-37.096,-37.867,-35.668,-37.402,-38.095,-38.281,-38.349,-39.308,-39.743,-39.832,-39.839,-39.8,-39.852,-39.859
5300,2.5,-38.152,-37.231,-37.982,-35.937,-37.535,-38.155,-38.328,-38.392,-39.332,-39.722,-39.814,-39.83,-39.792,-39.861,-39.869
5300,3,-38.16,-37.248,-37.989,-35.995,-37.549,-38.162,-38.333,-38.396,-39.337,-39.734,-39.824,-39.838,-39.801,-39.868,-39.875
5300,3.5,-38.163,-37.254,-37.991,-36.025,-37.554,-38.165,-38.336,-38.399,-39.34,-39.742,-39.831,-39.843,-39.809,-39.87,-39.879
5300,4,-38.169,-37.259,-37.994,-36.027,-37.559,-38.173,-38.342,-38.404,-39.345,-39.752,-39.839,-39.849,-39.814,-39.872,-39.879
5300,4.5,-38.17,-37.254,-37.99,-35.999,-37.554,-38.176,-38.346,-38.406,-39.347,-39.758,-39.844,-39.852,-39.818,-39.873,-39.88
5300,5,-38.173,-37.247,-37.987,-35.952,-37.547,-38.183,-38.353,-38.412,-39.352,-39.763,-39.849,-39.857,-39.823,-39.874,-39.881
5300,5.5,-38.177,-37.239,-37.982,-35.885,-37.539,-38.191,-38.362,-38.419,-39.358,-39.771,-39.857,-39.861,-39.825,-39.873,-39.879
5400,2.5,-38.246,-37.37,-38.087,-36.128,-37.664,-38.247,-38.406,-38.46,-39.381,-39.75,-39.838,-39.852,-39.819,-39.881,-39.888
5400,3,-38.254,-37.385,-38.094,-36.186,-37.677,-38.254,-38.411,-38.465,-39.386,-39.762,-39.848,-39.86,-39.828,-39.888,-39.895
5400,3.5,-38.257,-37.39,-38.096,-36.217,-37.681,-38.258,-38.415,-38.467,-39.389,-39.771,-39.855,-39.865,-39.835,-39.89,-39.898
5400,4,-38.263,-37.393,-38.1,-36.225,-37.685,-38.265,-38.421,-38.472,-39.394,-39.779,-39.863,-39.871,-39.839,-39.892,-39.9
5400,4.5,-38.264,-37.388,-38.097,-36.198,-37.68,-38.268,-38.424,-38.474,-39.396,-39.786,-39.868,-39.874,-39.843,-39.893,-39.9
5400,5,-38.269,-37.383,-38.096,-36.162,-37.677,-38.276,-38.433,-38.481,-39.401,-39.791,-39.873,-39.879,-39.848,-39.895,-39.902
5400,5.5,-38.275,-37.379,-38.094,-36.102,-37.673,-38.286,-38.442,-38.488,-39.408,-39.8,-39.881,-39.884,-39.851,-39.895,-39.901
5500,2.5,-38.339,-37.505,-38.19,-36.305,-37.79,-38.337,-38.482,-38.527,-39.428,-39.776,-39.861,-39.874,-39.846,-39.9,-39.908
5500,3,-38.346,-37.518,-38.196,-36.364,-37.8,-38.344,-38.488,-38.53,-39.433,-39.788,-39.871,-39.882,-39.853,-39.907,-39.914
5500,3.5,-38.35,-37.523,-38.2,-36.4,-37.805,-38.348,-38.491,-38.533,-39.437,-39.798,-39.88,-39.887,-39.86,-39.909,-39.917
5500,4,-38.353,-37.522,-38.2,-36.408,-37.805,-38.353,-38.496,-38.537,-39.441,-39.806,-39.886,-39.892,-39.864,-39.912,-39.919
