   Teff,Logg,      G,      B,      V,      u,      g,      r,      i,      z,      J,      H,      K, W1_W10, W2_W10, W3_W10, W4_W10
1650,5.5,-29.604,-24.164,-24.696,-20.792,-24.677,-27.321,-29.614,-31.842,-34.49,-35.655,-36.412,-37.042,-37.222,-38.117,-38.118
1700,2.5,-27.256,-19.604,-22.859,-19.743,-20.485,-24.488,-27.147,-29.602,-33.589,-34.996,-36.039,-36.926,-37.384,-38.08,-38.305
1700,3,-27.837,-20.939,-23.899,-20.361,-21.802,-25.386,-27.861,-30.125,-34.055,-35.51,-36.483,-37.233,-37.646,-38.301,-38.503
1700,3.5,-27.918,-20.716,-24.159,-20.568,-21.672,-25.693,-28.099,-30.133,-34.071,-35.604,-36.543,-37.315,-37.713,-38.363,-38.56
1700,4,-29.017,-22.96,-25.803,-21.662,-23.826,-27.25,-29.338,-31.103,-34.478,-35.875,-36.719,-37.387,-37.662,-38.358,-38.456
1700,4.5,-29.407,-23.639,-25.792,-21.629,-24.436,-27.586,-29.71,-31.499,-34.546,-35.807,-36.666,-37.376,-37.488,-38.259,-38.285
1700,5,-29.567,-23.923,-25.763,-21.611,-24.673,-27.744,-29.875,-31.651,-34.467,-35.779,-36.7,-37.453,-37.522,-38.262,-38.285
1700,5.5,-30.045,-24.793,-25.425,-21.342,-25.318,-27.912,-30.103,-32.249,-34.738,-35.836,-36.577,-37.211,-37.349,-38.188,-38.192
1750,5,-29.667,-23.965,-25.922,-21.754,-24.732,-27.837,-29.962,-31.763,-34.698,-35.956,-36.787,-37.481,-37.564,-38.284,-38.316
1750,5.5,-30.252,-25.028,-25.683,-21.527,-25.564,-28.106,-30.291,-32.465,-34.983,-36.004,-36.686,-37.303,-37.399,-38.205,-38.201
1800,2.5,-28.613,-22.533,-24.896,-21.328,-23.296,-26.171,-28.576,-30.902,-34.323,-35.262,-36.129,-36.889,-37.326,-37.996,-38.208
1800,3,-28.548,-22.373,-24.786,-21.113,-23.138,-26.139,-28.554,-30.828,-34.422,-35.639,-36.569,-37.265,-37.656,-38.3,-38.492
1800,3.5,-29.226,-22.67,-25.443,-21.676,-23.515,-26.888,-29.238,-31.492,-34.957,-36.034,-36.77,-37.384,-37.751,-38.377,-38.564
1800,4,-29.655,-23.739,-26.252,-22.049,-24.559,-27.705,-29.8,-31.84,-35.144,-36.196,-36.866,-37.407,-37.641,-38.342,-38.428
1800,4.5,-29.641,-23.811,-26.232,-21.978,-24.632,-27.756,-29.849,-31.791,-35.041,-36.171,-36.853,-37.465,-37.678,-38.358,-38.425
1800,5,-29.9,-24.234,-26.173,-21.958,-24.995,-28.019,-30.139,-32.029,-35.055,-36.21,-36.912,-37.517,-37.61,-38.307,-38.346
1800,5.5,-30.427,-25.105,-25.792,-21.61,-25.654,-28.183,-30.385,-32.676,-35.297,-36.174,-36.735,-37.333,-37.424,-38.218,-38.218
1850,5,-30.011,-24.217,-26.183,-21.966,-24.99,-28.032,-30.169,-32.188,-35.317,-36.403,-36.963,-37.5,-37.564,-38.291,-38.301
1850,5.5,-30.629,-25.347,-25.96,-21.725,-25.893,-28.323,-30.547,-32.898,-35.576,-36.386,-36.854,-37.416,-37.467,-38.229,-38.229
1900,2.5,-28.46,-21.764,-23.936,-20.932,-22.479,-25.273,-28.221,-30.856,-34.637,-35.677,-36.436,-36.99,-37.399,-38.029,-38.233
1900,3,-29.328,-22.865,-25.215,-21.725,-23.637,-26.537,-29.169,-31.678,-35.246,-36.143,-36.818,-37.341,-37.71,-38.328,-38.51
1900,3.5,-29.802,-23.561,-25.903,-22.097,-24.358,-27.249,-29.725,-32.108,-35.494,-36.36,-36.969,-37.442,-37.768,-38.378,-38.55
1900,4,-29.833,-23.668,-26.24,-22.132,-24.503,-27.571,-29.87,-32.091,-35.474,-36.416,-37.025,-37.533,-37.839,-38.432,-38.578
1900,4.5,-30.03,-23.961,-26.478,-22.231,-24.795,-27.949,-30.11,-32.257,-35.604,-36.531,-37.048,-37.532,-37.733,-38.382,-38.454
1900,5,-30.158,-24.297,-26.262,-22.023,-25.071,-28.055,-30.223,-32.386,-35.644,-36.582,-37.026,-37.523,-37.596,-38.306,-38.321
1900,5.5,-30.681,-25.369,-26.065,-21.812,-25.93,-28.393,-30.6,-32.95,-35.644,-36.422,-36.863,-37.417,-37.47,-38.234,-38.227
1950,5,-30.325,-24.439,-26.53,-22.261,-25.228,-28.21,-30.401,-32.55,-35.723,-36.664,-37.121,-37.59,-37.686,-38.349,-38.378
1950,5.5,-30.836,-25.451,-26.207,-21.929,-26.022,-28.495,-30.706,-33.125,-35.863,-36.611,-36.964,-37.476,-37.519,-38.254,-38.262
2000,2.5,-30.463,-25.102,-26.533,-24.328,-25.6,-27.596,-30.422,-32.779,-35.973,-36.589,-37.13,-37.505,-37.879,-38.456,-38.631
2000,3,-30.18,-24.021,-26.099,-22.656,-24.767,-27.326,-30.115,-32.504,-35.797,-36.534,-37.115,-37.52,-37.856,-38.444,-38.597
2000,3.5,-30.072,-23.187,-25.669,-22.158,-24.019,-27.072,-29.936,-32.425,-35.779,-36.572,-37.145,-37.563,-37.877,-38.447,-38.602
2000,4,-30.441,-23.81,-26.381,-22.461,-24.597,-27.816,-30.353,-32.769,-35.943,-36.683,-37.205,-37.591,-37.837,-38.429,-38.55
2000,4.5,-30.577,-24.068,-26.603,-22.472,-24.856,-28.1,-30.466,-32.908,-36.029,-36.753,-37.214,-37.613,-37.806,-38.413,-38.495
2000,5,-30.304,-24.238,-26.456,-22.27,-24.994,-28.208,-30.396,-32.522,-35.693,-36.655,-37.125,-37.596,-37.694,-38.353,-38.384
2000,5.5,-30.996,-25.136,-26.344,-22.191,-25.71,-28.631,-30.886,-33.283,-35.999,-36.72,-37.052,-37.557,-37.603,-38.299,-38.315
2050,2.5,-30.569,-25.401,-26.399,-24.674,-25.788,-27.353,-30.522,-32.899,-36.074,-36.699,-37.231,-37.581,-37.949,-38.495,-38.665
2050,3,-30.628,-25.185,-26.669,-23.915,-25.8,-27.676,-30.609,-32.935,-36.069,-36.72,-37.246,-37.593,-37.924,-38.479,-38.624
2050,3.5,-30.461,-23.934,-26.173,-22.638,-24.739,-27.463,-30.402,-32.787,-35.981,-36.706,-37.245,-37.627,-37.937,-38.48,-38.624
2050,4,-30.66,-24.479,-26.688,-22.729,-25.283,-27.981,-30.63,-32.957,-36.051,-36.781,-37.271,-37.623,-37.86,-38.439,-38.551
2050,4.5,-30.739,-24.525,-26.861,-22.685,-25.342,-28.276,-30.703,-33.024,-36.082,-36.819,-37.25,-37.627,-37.82,-38.42,-38.503
2050,5,-30.867,-24.834,-26.936,-22.647,-25.629,-28.516,-30.841,-33.141,-36.154,-36.913,-37.271,-37.663,-37.763,-38.388,-38.417
2100,2.5,-30.743,-25.791,-26.659,-25.122,-26.138,-27.558,-30.74,-33.056,-36.166,-36.761,-37.275,-37.612,-37.978,-38.51,-38.681
2100,3,-30.639,-25.024,-26.483,-23.842,-25.62,-27.511,-30.626,-32.953,-36.074,-36.738,-37.273,-37.633,-37.969,-38.506,-38.652
2100,3.5,-30.845,-24.944,-26.871,-23.31,-25.698,-28.001,-30.869,-33.131,-36.149,-36.8,-37.303,-37.657,-37.963,-38.494,-38.635
2100,4,-30.991,-25.18,-27.165,-23.125,-25.964,-28.36,-31.011,-33.263,-36.211,-36.863,-37.317,-37.644,-37.876,-38.447,-38.555
2100,4.5,-30.966,-24.29,-26.775,-22.788,-25.068,-28.227,-30.87,-33.299,-36.236,-36.922,-37.366,-37.707,-37.904,-38.457,-38.551
2100,5,-31.036,-24.803,-26.945,-22.748,-25.545,-28.622,-30.993,-33.317,-36.244,-36.959,-37.3,-37.673,-37.769,-38.389,-38.42
2100,5.5,-31.276,-25.583,-26.514,-22.185,-26.2,-28.676,-31.008,-33.614,-36.354,-36.992,-37.182,-37.598,-37.601,-38.286,-38.297
2150,2.5,-30.876,-26.163,-26.672,-25.428,-26.426,-27.401,-30.901,-33.185,-36.245,-36.861,-37.371,-37.695,-38.063,-38.554,-38.727
2150,3,-30.952,-25.804,-26.821,-24.69,-26.298,-27.647,-30.992,-33.249,-36.25,-36.888,-37.394,-37.716,-38.05,-38.548,-38.69
2150,3.5,-31.131,-25.643,-27.176,-24.011,-26.32,-28.145,-31.211,-33.4,-36.3,-36.927,-37.408,-37.727,-38.026,-38.528,-38.657
2150,4,-31.197,-25.35,-27.213,-23.414,-26.119,-28.328,-31.256,-33.469,-36.343,-36.986,-37.433,-37.737,-37.983,-38.499,-38.611
2150,4.5,-31.137,-25.002,-27.153,-23.065,-25.809,-28.431,-31.148,-33.417,-36.306,-37.008,-37.427,-37.744,-37.94,-38.476,-38.568
2150,5,-31.168,-25.045,-27.23,-22.958,-25.853,-28.692,-31.154,-33.44,-36.303,-37.031,-37.391,-37.74,-37.861,-38.437,-38.48
2200,2.5,-31.176,-26.655,-27.07,-25.956,-26.888,-27.743,-31.262,-33.459,-36.397,-36.953,-37.43,-37.735,-38.102,-38.572,-38.747
2200,3,-31.23,-26.283,-27.214,-25.209,-26.746,-27.973,-31.346,-33.496,-36.376,-36.963,-37.446,-37.763,-38.1,-38.576,-38.723
2200,3.5,-31.311,-26.027,-27.458,-24.335,-26.686,-28.333,-31.448,-33.557,-36.385,-36.99,-37.461,-37.774,-38.077,-38.558,-38.685
2200,4,-31.374,-25.831,-27.534,-23.785,-26.575,-28.535,-31.485,-33.623,-36.421,-37.04,-37.477,-37.772,-38.021,-38.521,-38.629
2200,4.5,-31.302,-24.476,-26.958,-23.119,-25.264,-28.371,-31.279,-33.615,-36.405,-37.056,-37.485,-37.799,-38.011,-38.512,-38.622
2200,5,-31.298,-24.65,-27.155,-23.093,-25.443,-28.632,-31.276,-33.584,-36.404,-37.129,-37.485,-37.81,-37.962,-38.487,-38.561
2200,5.5,-31.331,-25.376,-26.784,-22.583,-25.997,-28.875,-31.228,-33.618,-36.252,-36.949,-37.24,-37.672,-37.695,-38.344,-38.352
