ZooniverseID,WISEID,Teff,Teff_err_low,Teff_err_high,logg,logg_err_low,logg_err_high,rdstar,rdstar_err_low,rdstar_err_high,Tdisk,Tdisk_err_low,Tdisk_err_high,xdisk,xdisk_err_low,xdisk_err_high,fir,fir_err_low,fir_err_high
AWI0001q7h,J221158.73+594044.9,3800.0,None,None,2.5,None,None,7.72860250374e-11,2.6309885602e-13,2.69745688334e-13,448.331833421,4.15592021777,4.45620721368,6.879747246e-18,2.61344702548e-19,2.72213364228e-19,0.223280177315,0.00385995498959,0.00381201755602
AWI00019i2,J221055.01+575629.4,8824.38923123,53.5473601899,51.8375018239,None,None,None,3.12603640102e-10,2.93645402175e-12,2.89714955806e-12,260.53752514,19.5791472805,21.1641827596,1.08477942372e-17,2.59196205541e-18,3.29142201854e-18,8.43993619445e-05,7.86578877042e-06,8.20798195443e-06
AWI0001qsl,J053815.82+374440.5,10445.6767445,83.6929394448,87.934817116,None,None,None,2.32780512383e-10,2.57118080256e-12,2.62213819986e-12,867.895097293,47.9809915354,50.8409652607,1.40394262807e-18,1.46614932448e-19,1.64339862579e-19,0.0012351656834,0.00014333900727,0.000160948339389
AWI00018m1,J194022.79+251648.4,4900.0,None,None,5.5,None,None,2.96306933164e-10,1.95778833208e-12,1.91049653304e-12,1074.78468088,23.7075763091,24.1126255358,1.97186563239e-18,8.96820852734e-20,8.89949416646e-20,0.051994486254,0.00303786169001,0.00311717752698
AWI00021on,J192136.46+220744.7,4000.0,None,None,2.5,None,None,1.1869606688e-10,3.11398452777e-13,3.0500184016e-13,678.374235837,16.0534111917,15.5088397383,5.6891072398e-19,3.67103566161e-20,3.9534612791e-20,0.0333771164422,0.00137837920453,0.00137112748778
