!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      2050.00    3.50    0.00    0.00       -37.627     -37.937     -38.480     -38.624
      2050.00    4.00    0.00    0.00       -37.623     -37.860     -38.439     -38.551
      2050.00    4.50    0.00    0.00       -37.627     -37.820     -38.420     -38.503
      2050.00    5.00    0.00    0.00       -37.663     -37.763     -38.388     -38.417
      2100.00    2.50    0.00    0.00       -37.612     -37.978     -38.510     -38.681
      2100.00    3.00    0.00    0.00       -37.633     -37.969     -38.506     -38.652
      2100.00    3.50    0.00    0.00       -37.657     -37.963     -38.494     -38.635
      2100.00    4.00    0.00    0.00       -37.644     -37.876     -38.447     -38.555
      2100.00    4.50    0.00    0.00       -37.707     -37.904     -38.457     -38.551
      2100.00    5.00    0.00    0.00       -37.673     -37.769     -38.389     -38.420
      2100.00    5.50    0.00    0.00       -37.598     -37.601     -38.286     -38.297
      2150.00    2.50    0.00    0.00       -37.695     -38.063     -38.554     -38.727
      2150.00    3.00    0.00    0.00       -37.716     -38.050     -38.548     -38.690
      2150.00    3.50    0.00    0.00       -37.727     -38.026     -38.528     -38.657
      2150.00    4.00    0.00    0.00       -37.737     -37.983     -38.499     -38.611
      2150.00    4.50    0.00    0.00       -37.744     -37.940     -38.476     -38.568
      2150.00    5.00    0.00    0.00       -37.740     -37.861     -38.437     -38.480
      2200.00    2.50    0.00    0.00       -37.735     -38.102     -38.572     -38.747
      2200.00    3.00    0.00    0.00       -37.763     -38.100     -38.576     -38.723
      2200.00    3.50    0.00    0.00       -37.774     -38.077     -38.558     -38.685
      2200.00    4.00    0.00    0.00       -37.772     -38.021     -38.521     -38.629
      2200.00    4.50    0.00    0.00       -37.799     -38.011     -38.512     -38.622
      2200.00    5.00    0.00    0.00       -37.810     -37.962     -38.487     -38.561
      2200.00    5.50    0.00    0.00       -37.672     -37.695     -38.344     -38.352
