!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: Vega
! Using recent Calspec Alpha Lyrea STIS spectrum:
! ftp://ftp.stsci.edu/cdbs/current_calspec/
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
!  WISE filter system
!
!        Teff    Logg   [M/H]   [a/H]        W1_W10      W2_W10      W3_W10      W4_W10
      5200.00    3.50    0.00    0.00       -39.820     -39.782     -39.848     -39.856
      5200.00    4.00    0.00    0.00       -39.826     -39.788     -39.851     -39.860
      5200.00    4.50    0.00    0.00       -39.830     -39.792     -39.852     -39.859
      5200.00    5.00    0.00    0.00       -39.834     -39.797     -39.853     -39.861
      5200.00    5.50    0.00    0.00       -39.839     -39.800     -39.852     -39.859
      5300.00    2.50    0.00    0.00       -39.830     -39.792     -39.861     -39.869
      5300.00    3.00    0.00    0.00       -39.838     -39.801     -39.868     -39.875
      5300.00    3.50    0.00    0.00       -39.843     -39.809     -39.870     -39.879
      5300.00    4.00    0.00    0.00       -39.849     -39.814     -39.872     -39.879
      5300.00    4.50    0.00    0.00       -39.852     -39.818     -39.873     -39.880
      5300.00    5.00    0.00    0.00       -39.857     -39.823     -39.874     -39.881
      5300.00    5.50    0.00    0.00       -39.861     -39.825     -39.873     -39.879
      5400.00    2.50    0.00    0.00       -39.852     -39.819     -39.881     -39.888
      5400.00    3.00    0.00    0.00       -39.860     -39.828     -39.888     -39.895
      5400.00    3.50    0.00    0.00       -39.865     -39.835     -39.890     -39.898
      5400.00    4.00    0.00    0.00       -39.871     -39.839     -39.892     -39.900
      5400.00    4.50    0.00    0.00       -39.874     -39.843     -39.893     -39.900
      5400.00    5.00    0.00    0.00       -39.879     -39.848     -39.895     -39.902
      5400.00    5.50    0.00    0.00       -39.884     -39.851     -39.895     -39.901
      5500.00    2.50    0.00    0.00       -39.874     -39.846     -39.900     -39.908
      5500.00    3.00    0.00    0.00       -39.882     -39.853     -39.907     -39.914
      5500.00    3.50    0.00    0.00       -39.887     -39.860     -39.909     -39.917
      5500.00    4.00    0.00    0.00       -39.892     -39.864     -39.912     -39.919
      5500.00    4.50    0.00    0.00       -39.895     -39.867     -39.913     -39.920
      5500.00    5.00    0.00    0.00       -39.902     -39.873     -39.916     -39.922
      5500.00    5.50    0.00    0.00       -39.905     -39.875     -39.915     -39.921
      5600.00    2.50    0.00    0.00       -39.895     -39.871     -39.920     -39.927
      5600.00    3.00    0.00    0.00       -39.903     -39.879     -39.927     -39.934
      5600.00    3.50    0.00    0.00       -39.907     -39.885     -39.930     -39.938
      5600.00    4.00    0.00    0.00       -39.913     -39.888     -39.932     -39.938
      5600.00    4.50    0.00    0.00       -39.917     -39.891     -39.933     -39.939
      5600.00    5.00    0.00    0.00       -39.923     -39.896     -39.935     -39.941
      5600.00    5.50    0.00    0.00       -39.927     -39.899     -39.935     -39.940
      5700.00    2.50    0.00    0.00       -39.915     -39.897     -39.940     -39.946
      5700.00    3.00    0.00    0.00       -39.924     -39.904     -39.947     -39.953
      5700.00    3.50    0.00    0.00       -39.929     -39.909     -39.950     -39.957
      5700.00    4.00    0.00    0.00       -39.934     -39.913     -39.952     -39.958
      5700.00    4.50    0.00    0.00       -39.937     -39.915     -39.953     -39.958
      5700.00    5.00    0.00    0.00       -39.944     -39.920     -39.955     -39.961
      5700.00    5.50    0.00    0.00       -39.945     -39.922     -39.955     -39.960
      5800.00    2.50    0.00    0.00       -39.929     -39.917     -39.951     -39.956
      5800.00    3.00    0.00    0.00       -39.945     -39.929     -39.966     -39.972
      5800.00    3.50    0.00    0.00       -39.950     -39.934     -39.969     -39.976
      5800.00    4.00    0.00    0.00       -39.955     -39.937     -39.972     -39.977
      5800.00    4.50    0.00    0.00       -39.958     -39.939     -39.972     -39.978
      5800.00    5.00    0.00    0.00       -39.964     -39.943     -39.974     -39.979
      5800.00    5.50    0.00    0.00       -39.969     -39.946     -39.975     -39.979
      5900.00    2.50    0.00    0.00       -39.950     -39.942     -39.971     -39.976
      5900.00    3.00    0.00    0.00       -39.965     -39.954     -39.985     -39.991
      5900.00    3.50    0.00    0.00       -39.970     -39.957     -39.988     -39.994
      5900.00    4.00    0.00    0.00       -39.975     -39.961     -39.991     -39.996
      5900.00    4.50    0.00    0.00       -39.980     -39.963     -39.992     -39.997
      5900.00    5.00    0.00    0.00       -39.985     -39.966     -39.993     -39.997
      5900.00    5.50    0.00    0.00       -39.989     -39.969     -39.994     -39.998
      6000.00    2.50    0.00    0.00       -39.971     -39.965     -39.991     -39.995
      6000.00    3.00    0.00    0.00       -39.982     -39.973     -40.000     -40.003
      6000.00    3.50    0.00    0.00       -39.989     -39.979     -40.005     -40.010
      6000.00    4.00    0.00    0.00       -39.994     -39.982     -40.007     -40.012
      6000.00    4.50    0.00    0.00       -39.999     -39.985     -40.010     -40.014
      6000.00    5.00    0.00    0.00       -40.004     -39.988     -40.011     -40.016
      6000.00    5.50    0.00    0.00       -40.009     -39.991     -40.012     -40.015
      6100.00    2.50    0.00    0.00       -39.989     -39.991     -40.018     -40.022
      6100.00    3.00    0.00    0.00       -40.001     -39.997     -40.020     -40.023
      6100.00    3.50    0.00    0.00       -40.009     -40.002     -40.023     -40.028
      6100.00    4.00    0.00    0.00       -40.013     -40.006     -40.028     -40.033
      6100.00    4.50    0.00    0.00       -40.018     -40.008     -40.030     -40.035
      6100.00    5.00    0.00    0.00       -40.024     -40.011     -40.031     -40.035
      6100.00    5.50    0.00    0.00       -40.028     -40.013     -40.031     -40.035
      6200.00    2.50    0.00    0.00       -40.007     -40.013     -40.037     -40.041
      6200.00    3.00    0.00    0.00       -40.020     -40.020     -40.039     -40.042
      6200.00    3.50    0.00    0.00       -40.027     -40.022     -40.039     -40.043
      6200.00    4.00    0.00    0.00       -40.032     -40.028     -40.047     -40.051
      6200.00    4.50    0.00    0.00       -40.038     -40.030     -40.048     -40.052
      6200.00    5.00    0.00    0.00       -40.043     -40.033     -40.050     -40.054
      6200.00    5.50    0.00    0.00       -40.048     -40.036     -40.050     -40.054
      6300.00    2.50    0.00    0.00       -40.026     -40.032     -40.050     -40.052
      6300.00    3.00    0.00    0.00       -40.038     -40.041     -40.058     -40.060
      6300.00    3.50    0.00    0.00       -40.044     -40.044     -40.061     -40.066
      6300.00    4.00    0.00    0.00       -40.050     -40.049     -40.065     -40.070
      6300.00    4.50    0.00    0.00       -40.056     -40.052     -40.067     -40.071
      6300.00    5.00    0.00    0.00       -40.061     -40.054     -40.068     -40.072
      6300.00    5.50    0.00    0.00       -40.067     -40.057     -40.068     -40.071
      6400.00    2.50    0.00    0.00       -40.044     -40.051     -40.064     -40.067
      6400.00    3.00    0.00    0.00       -40.056     -40.061     -40.073     -40.076
      6400.00    3.50    0.00    0.00       -40.062     -40.066     -40.081     -40.085
      6400.00    4.00    0.00    0.00       -40.068     -40.069     -40.083     -40.087
      6400.00    4.50    0.00    0.00       -40.075     -40.072     -40.084     -40.087
      6400.00    5.00    0.00    0.00       -40.080     -40.074     -40.084     -40.088
      6400.00    5.50    0.00    0.00       -40.085     -40.077     -40.085     -40.088
      6500.00    2.50    0.00    0.00       -40.063     -40.071     -40.078     -40.079
      6500.00    3.00    0.00    0.00       -40.073     -40.079     -40.090     -40.092
      6500.00    3.50    0.00    0.00       -40.080     -40.084     -40.095     -40.098
      6500.00    4.00    0.00    0.00       -40.086     -40.088     -40.100     -40.104
      6500.00    4.50    0.00    0.00       -40.092     -40.093     -40.105     -40.109
      6500.00    5.00    0.00    0.00       -40.097     -40.094     -40.102     -40.105
      6500.00    5.50    0.00    0.00       -40.103     -40.096     -40.102     -40.105
      6600.00    2.50    0.00    0.00       -40.079     -40.080     -40.073     -40.073
      6600.00    3.00    0.00    0.00       -40.090     -40.096     -40.105     -40.106
      6600.00    3.50    0.00    0.00       -40.098     -40.104     -40.116     -40.120
      6600.00    4.00    0.00    0.00       -40.104     -40.108     -40.120     -40.123
      6600.00    4.50    0.00    0.00       -40.110     -40.112     -40.122     -40.125
      6600.00    5.00    0.00    0.00       -40.115     -40.113     -40.120     -40.123
      6600.00    5.50    0.00    0.00       -40.120     -40.115     -40.118     -40.121
      6700.00    2.50    0.00    0.00       -40.100     -40.090     -40.073     -40.051
      6700.00    3.00    0.00    0.00       -40.106     -40.113     -40.121     -40.122
      6700.00    3.50    0.00    0.00       -40.116     -40.123     -40.133     -40.135
      6700.00    4.00    0.00    0.00       -40.120     -40.123     -40.133     -40.137
      6700.00    4.50    0.00    0.00       -40.126     -40.129     -40.139     -40.142
      6700.00    5.00    0.00    0.00       -40.132     -40.131     -40.136     -40.138
      6700.00    5.50    0.00    0.00       -40.137     -40.133     -40.134     -40.136
      6800.00    2.50    0.00    0.00       -40.121     -40.104     -40.084     -40.030
      6800.00    3.00    0.00    0.00       -40.121     -40.129     -40.137     -40.138
      6800.00    3.50    0.00    0.00       -40.132     -40.139     -40.147     -40.148
      6800.00    4.00    0.00    0.00       -40.137     -40.141     -40.149     -40.153
      6800.00    4.50    0.00    0.00       -40.142     -40.145     -40.154     -40.157
      6800.00    5.00    0.00    0.00       -40.149     -40.149     -40.153     -40.155
      6800.00    5.50    0.00    0.00       -40.154     -40.150     -40.150     -40.152
      6900.00    2.50    0.00    0.00       -40.128     -40.133     -40.118     -40.094
      6900.00    3.00    0.00    0.00       -40.137     -40.140     -40.148     -40.160
      6900.00    3.50    0.00    0.00       -40.148     -40.154     -40.161     -40.161
      6900.00    4.00    0.00    0.00       -40.154     -40.159     -40.169     -40.173
      6900.00    4.50    0.00    0.00       -40.158     -40.162     -40.170     -40.173
      6900.00    5.00    0.00    0.00       -40.164     -40.164     -40.169     -40.172
      6900.00    5.50    0.00    0.00       -40.171     -40.168     -40.168     -40.168
      7000.00    2.50    0.00    0.00       -40.143     -40.150     -40.135     -40.113
      7000.00    3.00    0.00    0.00       -40.151     -40.155     -40.162     -40.174
      7000.00    3.50    0.00    0.00       -40.162     -40.169     -40.175     -40.175
      7000.00    4.00    0.00    0.00       -40.170     -40.176     -40.186     -40.185
      7000.00    4.50    0.00    0.00       -40.174     -40.178     -40.185     -40.187
      7000.00    5.00    0.00    0.00       -40.181     -40.181     -40.183     -40.181
      7000.00    5.50    0.00    0.00       -40.187     -40.184     -40.183     -40.182
