!  STARS, BROWN DWARFS, AND GAS GIANT PLANETS COLORS
!  
!  E(B-V) =     0.000
!     A_V =     0.000
!
!  "MAGNITUDES" m AT THE STELLAR SURFACE
!  (distance modulus factor not included)
!
!  ABSOLUTE MAGNITUDES: M_m = m - 5logR(pc) + 5
!
! Type of calibration used: AB
!
! Unless mentioned otherwise below, we calculate:
! Pogson magnitudes resulting from photon count integration (caracteristic of CCDs)
!
! Note that absolute magnitudes are calculated from the model atmosphere fluxes as Pogson magnitudes, while observed SDSS photometry is provided as Asinh magnitudes.
! To obtain apparent magnitudes at a distance from the isochrones, the absolute magnitudes have to be converted to flux ratios,
! scaled to the distance and converted back as Asinh magnitudes, e.g. for a distance modulus D= 0.2 log10(d/10 pc) compute f/f0= 10**(-0.4*(M+D))
! m= -2.5/ln(10) * [asinh([f/f0]/[2b]) + ln(b)] where b is the appropriate asinh softening parameter (cf. table at
! http://www.sdss.org/dr12/algorithms/magnitudes/#asinh), i.e.
! b(u)= 1.4e-10, b(g)= 0.9e-10, b(r)= 1.2e-10, b(i)= 1.8e-10, b(z)= 7.4e-10
!
!  SDSS with airmass=1.3 filter system (Doi et al. 2010) filter system
!
!        Teff    Logg   [M/H]   [a/H]             u           g           r           i           z          u1          u2          u3          u4          u5          u6          g1          g2          g3          g4          g5          g6          r1          r2          r3          r4          r5          r6          i1          i2          i3          i4          i5          i6          z1          z2          z3          z4          z5          z6
      1300.00    4.50    0.00    0.00       -18.169     -22.770     -24.978     -27.569     -30.885     -18.712     -17.803     -18.993     -18.915     -18.465     -18.376     -22.757     -22.752     -22.784     -22.778     -22.772     -22.775     -25.047     -24.986     -24.954     -24.970     -24.959     -24.967     -27.594     -27.586     -27.581     -27.580     -27.591     -27.580     -30.860     -30.941     -30.896     -30.907     -30.864     -30.847
      1300.00    5.00    0.00    0.00       -17.932     -22.855     -24.319     -27.056     -31.070     -18.344     -17.628     -18.585     -18.523     -18.119     -18.078     -22.840     -22.836     -22.871     -22.863     -22.858     -22.861     -24.393     -24.327     -24.297     -24.311     -24.298     -24.307     -27.082     -27.073     -27.067     -27.065     -27.078     -27.065     -31.038     -31.143     -31.085     -31.098     -31.041     -31.020
      1300.00    5.50    0.00    0.00       -17.846     -22.864     -23.409     -26.343     -31.021     -18.090     -17.543     -18.279     -18.268     -17.865     -17.864     -22.847     -22.845     -22.882     -22.872     -22.868     -22.871     -23.477     -23.417     -23.386     -23.402     -23.390     -23.398     -26.365     -26.360     -26.356     -26.351     -26.363     -26.350     -30.978     -31.125     -31.045     -31.059     -30.976     -30.947
      1400.00    3.00    0.00    0.00       -19.778     -22.969     -26.333     -28.506     -31.011     -20.123     -18.900     -20.427     -20.484     -19.707     -19.595     -22.965     -22.952     -22.978     -22.975     -22.973     -22.974     -26.371     -26.340     -26.307     -26.332     -26.324     -26.331     -28.525     -28.523     -28.521     -28.517     -28.524     -28.516     -30.985     -31.087     -31.024     -31.040     -30.979     -30.956
      1400.00    3.50    0.00    0.00       -19.540     -23.116     -26.357     -28.624     -31.104     -20.043     -18.661     -20.363     -20.389     -19.587     -19.440     -23.109     -23.098     -23.126     -23.122     -23.118     -23.120     -26.401     -26.364     -26.331     -26.354     -26.346     -26.353     -28.644     -28.642     -28.639     -28.636     -28.642     -28.635     -31.080     -31.170     -31.116     -31.129     -31.076     -31.057
      1400.00    4.00    0.00    0.00       -19.399     -23.114     -26.290     -28.630     -31.017     -19.953     -18.621     -20.271     -20.275     -19.536     -19.392     -23.107     -23.097     -23.124     -23.120     -23.116     -23.118     -26.339     -26.297     -26.265     -26.287     -26.278     -26.285     -28.649     -28.648     -28.646     -28.644     -28.649     -28.642     -30.996     -31.065     -31.026     -31.035     -30.998     -30.984
      1400.00    4.50    0.00    0.00       -18.940     -23.205     -25.890     -28.332     -31.158     -19.520     -18.367     -19.829     -19.787     -19.198     -19.073     -23.194     -23.187     -23.218     -23.212     -23.207     -23.209     -25.948     -25.897     -25.865     -25.884     -25.874     -25.882     -28.354     -28.350     -28.346     -28.345     -28.352     -28.344     -31.136     -31.210     -31.168     -31.178     -31.138     -31.123
      1400.00    5.00    0.00    0.00       -19.005     -23.400     -25.923     -28.385     -31.283     -19.587     -18.501     -19.887     -19.834     -19.271     -19.158     -23.389     -23.383     -23.414     -23.408     -23.402     -23.405     -25.983     -25.930     -25.898     -25.917     -25.906     -25.914     -28.407     -28.403     -28.399     -28.398     -28.405     -28.397     -31.260     -31.336     -31.293     -31.303     -31.263     -31.249
      1400.00    5.50    0.00    0.00       -18.581     -23.505     -24.604     -27.333     -31.421     -18.885     -18.204     -19.110     -19.092     -18.639     -18.614     -23.489     -23.486     -23.522     -23.513     -23.509     -23.511     -24.670     -24.611     -24.580     -24.596     -24.585     -24.593     -27.355     -27.350     -27.345     -27.342     -27.353     -27.341     -31.386     -31.502     -31.438     -31.452     -31.387     -31.366
      1500.00    2.50    0.00    0.00       -21.055     -23.164     -26.446     -28.529     -30.387     -20.668     -20.758     -20.844     -20.930     -21.199     -21.301     -23.167     -23.147     -23.162     -23.165     -23.170     -23.168     -26.463     -26.451     -26.426     -26.447     -26.443     -26.447     -28.527     -28.536     -28.536     -28.528     -28.531     -28.523     -30.365     -30.457     -30.402     -30.415     -30.361     -30.341
      1500.00    3.00    0.00    0.00       -20.542     -22.040     -25.850     -28.095     -29.770     -20.092     -20.395     -20.270     -20.355     -20.845     -20.985     -22.044     -22.022     -22.036     -22.040     -22.047     -22.043     -25.868     -25.855     -25.829     -25.851     -25.847     -25.850     -28.088     -28.100     -28.100     -28.093     -28.094     -28.088     -29.748     -29.825     -29.782     -29.789     -29.748     -29.733
      1500.00    3.50    0.00    0.00       -20.577     -22.012     -25.868     -28.118     -29.723     -20.101     -20.479     -20.277     -20.359     -20.925     -21.077     -22.016     -21.994     -22.008     -22.012     -22.018     -22.015     -25.887     -25.873     -25.848     -25.870     -25.866     -25.869     -28.109     -28.121     -28.122     -28.115     -28.115     -28.109     -29.702     -29.774     -29.735     -29.741     -29.703     -29.690
      1500.00    4.00    0.00    0.00       -21.265     -23.760     -27.117     -29.251     -30.876     -21.173     -20.737     -21.404     -21.480     -21.251     -21.238     -23.763     -23.743     -23.759     -23.762     -23.766     -23.764     -27.141     -27.122     -27.094     -27.117     -27.112     -27.117     -29.257     -29.265     -29.265     -29.260     -29.261     -29.255     -30.857     -30.920     -30.885     -30.891     -30.858     -30.846
      1500.00    4.50    0.00    0.00       -21.054     -23.978     -27.198     -29.388     -31.147     -21.174     -20.395     -21.439     -21.502     -20.995     -20.928     -23.980     -23.962     -23.981     -23.981     -23.983     -23.982     -27.229     -27.204     -27.174     -27.198     -27.191     -27.197     -29.399     -29.405     -29.404     -29.400     -29.401     -29.396     -31.129     -31.190     -31.156     -31.163     -31.130     -31.119
