ZooID,WISEID,RA,DEC,Gaia_gmag,Gaia_gmagerr,G_Bpmag,G_Bperr,G_Rpmag,G_Rperr,Bmag,Berr,Vmag,Verr,jmag,jerr,hmag,herr,kmag,kerr,w1mag,w1err,w2mag,w2err,w3mag,w3err,w4mag,w4err
AWI0005zyp,J034811.63-744138.5,57.0484732,-74.6940332,7.022278,0.000263642,7.250268,0.001969853,6.7127,0.002550579,7.513,0.015,7.127,0.01,6.367,0.021,6.224,0.046,6.136,0.018,6.14,0.104,6.03,0.035,6.139,0.015,5.563,0.031
AWI0005znw,J064613.60-835928.7,101.5566822,-83.9913227,7.354531,0.000352375,7.605986,0.002149374,7.002211,0.001957686,8.88,0.014,8.622,0.006,6.553,0.029,6.396,0.031,6.299,0.021,6.33,0.089,6.233,0.027,6.279,0.015,5.765,0.037
AWI0005zi5,J053739.64-283734.7,84.4151876,-28.6263068,7.151664,0.000218442,7.384182,0.001700021,6.826745,0.003243953,7.66,0.02,7.25,0.01,6.47,0.024,6.288,0.021,6.277,0.02,6.263,0.087,6.186,0.027,6.215,0.015,5.317,0.035
AWI0000m02,J044115.76-351358.1,70.3156791,-35.2328224,9.856106,0.000554133,10.28003,0.001842443,9.30322,0.001424427,10.9,0.05,10.09,0.04,8.641,0.019,8.279,0.02,8.188,0.02,8.144,0.023,8.182,0.021,7.905,0.019,7.081,0.082
AWI0000ike,J020726.24-594046.2,31.8593743,-59.6795008,7.370221,0.000381869,7.667459,0.002026377,6.962447,0.001641863,8.02,0.02,7.5,0.01,6.534,0.02,6.304,0.033,6.204,0.02,6.215,0.097,6.067,0.035,6.116,0.015,5.465,0.035
AWI00063nx,J094900.65-713803.1,147.2527337,-71.6342136,13.88741,0.005116917,14.93812,0.035192228,12.43981,0.031550075,NaN,NaN,NaN,NaN,10.437,0.033,9.858,0.036,9.5,0.024,9.248,0.022,9.005,0.02,7.78,0.016,6.36,0.037
AWI000601p,J044634.16-262756.1,71.6423584,-26.465585,15.12564,0.001143715,16.94973,0.028822794,13.7936,0.003772414,NaN,NaN,NaN,NaN,11.181,0.027,10.743,0.037,10.495,0.034,10.057,0.023,9.829,0.019,8.911,0.025,6.964,0.075
AWI000601q,J044649.55-261808.8,71.7064691,-26.3024678,7.754085,0.000292801,7.97387,0.001325031,7.439501,0.001404418,8.25,0.01,7.86,0.01,7.099,0.018,6.951,0.031,6.894,0.021,6.872,0.063,6.867,0.021,6.867,0.016,6,0.049
