Teff,Logg,G2018,G2018_BP,G2018_RP,J,H,K,W1_W10,W2_W10,W3_W10,W4_W10
1900.00,3.50,-29.946,-25.945,-31.366,-35.494,-36.360,-36.969,-37.442,-37.768,-38.378,-38.550
1900.00,4.00,-29.965,-26.246,-31.377,-35.474,-36.416,-37.025,-37.533,-37.839,-38.432,-38.578
1900.00,4.50,-30.153,-26.573,-31.561,-35.604,-36.531,-37.048,-37.532,-37.733,-38.382,-38.454
1900.00,5.00,-30.275,-26.592,-31.692,-35.644,-36.582,-37.026,-37.523,-37.596,-38.306,-38.321
1900.00,5.50,-30.789,-26.836,-32.224,-35.644,-36.422,-36.863,-37.417,-37.470,-38.234,-38.227
1950.00,5.00,-30.441,-26.781,-31.857,-35.723,-36.664,-37.121,-37.590,-37.686,-38.349,-38.378
2000.00,2.50,-30.613,-26.509,-32.033,-35.973,-36.589,-37.130,-37.505,-37.879,-38.456,-38.631
2000.00,3.00,-30.330,-26.092,-31.754,-35.797,-36.534,-37.115,-37.520,-37.856,-38.444,-38.597
2000.00,3.50,-30.227,-25.733,-31.661,-35.779,-36.572,-37.145,-37.563,-37.877,-38.447,-38.602
2000.00,4.00,-30.591,-26.463,-32.014,-35.943,-36.683,-37.205,-37.591,-37.837,-38.429,-38.550
2000.00,4.50,-30.727,-26.724,-32.151,-36.029,-36.753,-37.214,-37.613,-37.806,-38.413,-38.495
2000.00,5.00,-30.418,-26.750,-31.834,-35.693,-36.655,-37.125,-37.596,-37.694,-38.353,-38.384
2000.00,5.50,-31.109,-27.051,-32.552,-35.999,-36.720,-37.052,-37.557,-37.603,-38.299,-38.315
2050.00,2.50,-30.720,-26.398,-32.147,-36.074,-36.699,-37.231,-37.581,-37.949,-38.495,-38.665
2050.00,3.00,-30.772,-26.613,-32.196,-36.069,-36.720,-37.246,-37.593,-37.924,-38.479,-38.624
2050.00,3.50,-30.607,-26.189,-32.039,-35.981,-36.706,-37.245,-37.627,-37.937,-38.480,-38.624
2050.00,4.00,-30.795,-26.706,-32.223,-36.051,-36.781,-37.271,-37.623,-37.860,-38.439,-38.551
2050.00,4.50,-30.867,-26.941,-32.297,-36.082,-36.819,-37.250,-37.627,-37.820,-38.420,-38.503
2050.00,5.00,-30.988,-27.131,-32.421,-36.154,-36.913,-37.271,-37.663,-37.763,-38.388,-38.417
2100.00,2.50,-30.889,-26.664,-32.313,-36.166,-36.761,-37.275,-37.612,-37.978,-38.510,-38.681
2100.00,3.00,-30.783,-26.438,-32.211,-36.074,-36.738,-37.273,-37.633,-37.969,-38.506,-38.652
