Name,WISE_ID,RA,DEC
AWI0002d5e,J025218.60+661539.2,43.0775195,66.2608943
AWI0002d5g,J025537.08+664751.7,43.9045048,66.7977033
AWI0003lvn,J025607.14+563634.1,44.0298089,56.6094936
AWI00019vp,J025947.05+614915.2,44.94588,61.82091
AWI0005e37,J030016.69+693007.1,45.06976435,69.50193985
AWI0005e37,J030016.69+693007.1,45.06976435,69.50193985 
AWI00019vq,J030039.85+613950.8,45.1660555,61.6641379
AWI0001qpq,J030134.44+622815.0,45.3935103,62.4708708
AWI0003lvq,J030209.78+554517.2,45.540738,55.754787
AWI0001qpt,J030312.90+622019.4,45.803875,62.338735
AWI0005yk2,J030420.71+352410.8,46.08632684,35.40300741
AWI0005w7g,J030626.85+385259.9,46.611826,38.883309
AWI00062b2,J030637.66-604119.0,46.65699414,-60.68860996
AWI0005yk3,J030651.95+303136.8,46.71648843,30.52684559
AWI00062ic,J030854.20-185809.1,47.22586192,-18.9692005
AWI00062b6,J031248.58+024141.9,48.20244031,2.694991768
AWI0004nfl,J031356.60+514407.8,48.4858382,51.7355064
AWI0000pvn,J031601.05-663411.1,49.00438018,-66.56977873 
AWI0000zjo,J031849.68+593351.5,49.70686403,59.56430046
AWI0005w7k,J031942.88+364101.3,49.92873104,36.68370718
AWI0000zqm,J032053.35+584939.5,50.222317,58.82766721
AWI00019wg,J032110.92+600020.7,50.2955278,60.0057697
AWI0005zy1,J032322.56-850349.3,50.8441044,-85.06372437
AWI0005w7o,J032429.84+341709.9,51.12441376,34.28607029
AWI0005ykd,J032448.99+283908.6,51.20420351,28.65230178
AWI0005zy4,J032504.59+105835.0,51.26919811,10.97637387
AWI0002vcf,J032528.86+545918.5,51.37030243,54.98847719
AWI00062iw,J032555.87-355515.1,51.48286411,-35.92090467
AWI0005ykn,J032557.49+273436.3,51.4896205,27.57674081
AWI0000zqu,J032748.97+581216.3,51.95407441,58.2045384
AWI00019wk,J032758.50+585834.0,51.9937669,58.9761378
AWI0005ykq,J032800.10+300846.8,52.0004297,30.1463568
