#Name, RA, DEC, MatchID, MatchRA, MatchDEC," Search Distance ("")", designation, ZooniverseID, glon, glat, w1mpro, w1sigmpro, w2mpro, w2sigmpro, w3mpro, w3sigmpro, w4mpro, w4sigmpro, j_m_2mass, j_msig_2mass, h_m_2mass, h_msig_2mass, k_m_2mass, k_msig_2mass, j_h, h_k, A_Vmag, A_B_V, A_Bmag, A_gMag, A_rMag, A_iMag, A_Verr, A_B_Verr, A_Berr, A_gErr, A_rErr, A_iErr, A_objid, A_dstArcSec, A_contamination, G_source_id, G_phot_g_mean_mag,,, G_parallax, G_parallax_error, G_pmra, G_pmra_error, G_pmdec, G_pmdec_error, G_objid, G_dstArcSec, G_contamination, P_gMeanPSFMag, P_gMeanPSFMagErr, P_iMeanPSFMag, P_iMeanPSFMagErr, P_rMeanPSFMag, P_rMeanPSFMagErr, P_yMeanPSFMag, P_yMeanPSFMagErr, P_zMeanPSFMag, P_zMeanPSFMagErr, P_nDetections, P_dstArcSec, P_contamination, T_id, T_pmRA, T_e_pmRA, T_pmDEC, T_e_pmDEC, T_PMflag, T_plx, T_e_plx, T_PARflag, T_dstArcSec, T_contamination, ZooniverseURL,,,,,,,,,,,,,,,,,,
#@string, ra, dec, int, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, int, string, float,,, float, float, float, float, float, float, string, float, int, float, float, float, float, float, float, float, float, float, float, int, float, int, string, float, float, float, float, string, float, float, string, float, int, string,,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
Name,RA,DEC,MatchID,MatchRA,MatchDEC,dstArcSec,designation,ZooniverseID,glon,glat,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,j_h,h_k,A_Vmag,A_B_V,A_Bmag,A_gMag,A_rMag,A_iMag,A_Verr,A_B_Verr,A_Berr,A_gErr,A_rErr,A_iErr,A_objid,A_dstArcSec,A_contamination,G_source_id,G_phot_g_mean_mag,G_phot_g_mag_err,G_phot_g_mag_err_final,G_parallax,G_parallax_error,G_pmra,G_pmra_error,G_pmdec,G_pmdec_error,G_objid,G_dstArcSec,G_contamination,P_gMeanPSFMag,P_gMeanPSFMagErr,P_iMeanPSFMag,P_iMeanPSFMagErr,P_rMeanPSFMag,P_rMeanPSFMagErr,P_yMeanPSFMag,P_yMeanPSFMagErr,P_zMeanPSFMag,P_zMeanPSFMagErr,P_nDetections,P_dstArcSec,P_contamination,T_id,T_pmRA,T_e_pmRA,T_pmDEC,T_e_pmDEC,T_PMflag,T_plx,T_e_plx,T_PARflag,T_dstArcSec,T_contamination,ZooniverseURL,J_Bmag,J_Bmagerr,J_Vmag,J_Vmagerr,sdss_umag,sdss_uerr,sdss_gmag,sdss_gerr,sdss_rmag,sdss_rerr,sdss_imag,sdss_ierr,sdss_zmag,sdss_zerr,use_tycho,use_gaia,use_ps,use_sdss
AWI00062mq,19.431125,-52.55855556,397825,19.4311375,-52.5585562,0.027455958,J011743.47-523330.8,AWI00062mq,293.766556,-64.0993194,8.687,0.022,8.286,0.021,5.165,0.015,2.444,0.02,10.01,0.024,9.677,0.023,9.312,0.021,0.333,0.365,10.807,0.379,11.186,10.951,10.758,10.715,0.049,0.054,0.022,0.043,0.053,0.058,26114339,0.08216786,0,4.92E+18,10.74595648,0.001408133,0.010534839,2.50757887,0.288415336,-21.2976549,0.33095258,-2.509480989,0.691263696,4.92E+18,0.089547058,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,382551468,-21.2977,0.330953,-2.50948,0.691264,tgas,2.50758,0.288415,tgas,0.165702983,0,https://talk.diskdetective.org/#/subjects/AWI00062mq,11.279,0.086,10.746,0.053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI0005w6c,21.70941667,45.67744444,337467,21.7094529,45.677446,0.091309917,J012650.26+454038.8,AWI0005w6c,129.3773209,-16.7507521,7.625,0.025,7.635,0.022,7.352,0.017,6.62,0.074,7.596,0.02,7.644,0.026,7.647,0.021,-0.048,-0.003,99.999,99.999,99.999,99.999,99.999,99.999,9.999,9.999,9.999,9.999,9.999,9.999,53376667,0.179892646,0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.03487,0.06553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,0.246822713,76,191727293,-6.8,1.2,-1.1,1.2,tycho2,2.35,0.9,hip,0.173453869,0,https://talk.diskdetective.org/#/subjects/AWI0005w6c,7.476,0.021,7.549,0.011,8.048,0.00049,10.027,0.002,7.464,0.00049,7.613,0.00049,8.968,0.001,TRUE,FALSE,FALSE,FALSE
AWI0004ne5,23.857875,56.04369444,221704,23.8578876,56.0437147,0.077196207,J013525.89+560237.3,AWI0004ne5,129.0864812,-6.3013537,6.816,0.036,6.828,0.022,6.763,0.015,6.106,0.048,6.791,0.018,6.83,0.036,6.834,0.023,-0.039,-0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,4.10E+17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.10E+17,15.64816103,0,7.90373,0.00666,7.40531,0.003336,NaN,NaN,NaN,NaN,6.88003,0.001,3,0.41570649,84,399135590,-12.2,1,-6.2,1.2,tycho2,4.6,0.73,hip,0.119992899,0,https://talk.diskdetective.org/#/subjects/AWI0004ne5,7.068,0.018,7.016,0.01,8.1,0.00049,10.889,0.007,10.412,0.006,10.312,0.005,7.973,0.001,TRUE,FALSE,FALSE,FALSE
AWI00062a8,24.48395833,21.26108333,389043,24.4839596,21.2611035,0.07272427,J013756.15+211539.9,AWI00062a8,137.1899835,-40.3197663,7.782,0.024,7.808,0.02,7.64,0.018,5.761,0.038,7.824,0.018,7.845,0.029,7.806,0.023,-0.021,0.039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,9.67E+16,7.983557354,0.000666295,0.010461546,6.27645698,0.261597476,13.27400141,0.053046829,-4.769760176,0.037505353,9.67E+16,0.066712395,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,0.066650866,69,150988509,13.274,0.0530468,-4.76976,0.0375054,tgas,6.27646,0.261597,tgas,0.169196853,0,https://talk.diskdetective.org/#/subjects/AWI00062a8,8.047,0.022,7.951,0.012,9.577,0.001,7.944,0.00049,10.674,0.004,10.812,0.004,9.173,0.002,TRUE,FALSE,FALSE,FALSE
AWI0005aeg,24.64070833,78.14286111,247695,24.6407473,78.1428862,0.094807713,J013833.77+780834.3,AWI0005aeg,125.4271273,15.5001504,8.187,0.023,7.944,0.021,7.391,0.017,6.953,0.063,8.915,0.03,8.898,0.032,8.834,0.021,0.017,0.064,9.71,0.459,10.169,10.221,9.646,9.537,0.014,0.07,0.069,0.205,0.014,0.006,60669159,0.037568737,0,5.62E+17,9.641812186,0.00251257,0.010738389,0.782142913,0.284055435,-4.509742606,0.580809642,5.048493539,0.736947228,5.62E+17,0.103696362,0,10.0232,0.356164,9.68168,0.012505,12.3244,0.002065,9.46981,0.017108,9.42549,0.085851,29,0.424371083,63,408727995,-4.50974,0.58081,5.04849,0.736947,tgas,0.782143,0.284055,tgas,0.044636588,0,https://talk.diskdetective.org/#/subjects/AWI0005aeg,10.179,0.044,9.778,0.026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI0000nxi,25.30416667,16.51436111,408709,25.3041875,16.5143806,0.100463515,J014113.00+163051.7,AWI00062aa,139.835213,-44.7173629,7.707,0.024,7.734,0.02,7.558,0.017,6.277,0.055,7.894,0.021,7.781,0.021,7.758,0.021,0.113,0.023,8.47,0.326,8.797,8.584,8.483,8.503,0.037,0.05,0.034,0.029,0.02,0.041,42829328,0.030729942,0,2.59E+18,8.450943437,0.000774107,0.010468966,NaN,NaN,NaN,NaN,NaN,NaN,2.59E+18,0.094970552,0,8.79437,0.003706,8.86178,0.019738,NaN,NaN,9.46101,0.127435,8.78508,0.052154,11,0.344875282,83,430313366,23.3,0.8,1,0.8,tycho2,2.71,1.08,hip,0.29363966,0,https://talk.diskdetective.org/#/subjects/AWI00062aa,8.82,0.029,8.504,0.015,10.523,0.001,8.732,0.00049,8.5,0.00049,8.529,0.00049,8.954,0.001,TRUE,FALSE,FALSE,TRUE
AWI0005zx4,27.36754167,24.68019444,369341,27.3675762,24.6802191,0.143663251,J014928.21+244048.7,AWI0005zx4,139.3458598,-36.3349305,7.903,0.024,7.915,0.019,7.797,0.02,7.239,0.105,8.013,0.019,7.98,0.027,7.922,0.018,0.033,0.058,99.999,99.999,10.212,99.999,99.999,99.999,9.999,9.999,0,9.999,9.999,9.999,45434178,0.154742918,0,2.91E+17,8.290815983,0.00103681,0.010491662,5.481993163,0.299018499,10.67469033,0.069252614,-3.322542032,0.040680984,2.91E+17,0.120583761,0,10.2035,0.001,8.36218,0.042437,7.64233,0.001,8.92208,0.001,NaN,NaN,7,1.059142954,77,26893571,10.6747,0.0692526,-3.32254,0.040681,tgas,5.48199,0.299019,tgas,0.224318944,0,https://talk.diskdetective.org/#/subjects/AWI0005zx4,8.426,0.025,8.309,0.014,10.008,0.001,8.553,0.00049,8.383,0.00049,10.983,0.006,9.814,0.002,TRUE,FALSE,FALSE,FALSE
AWI00008jh,28.32475,-46.23941667,412141,28.32479,-46.2394384,0.126653363,J015317.94-461421.9,AWI00008jh,274.3711911,-67.3086708,7.046,0.034,7.055,0.02,6.665,0.017,6.315,0.06,8.367,0.027,7.474,0.031,7.155,0.024,0.893,0.319,12.626,1.657,14.283,13.389,12.044,10.543,0.055,0.074,0.05,0.047,0.021,0.006,22152242,0.497567185,0,4.95E+18,11.1435804,0.008226915,0.013292183,NaN,NaN,NaN,NaN,NaN,NaN,4.95E+18,0.06165567,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160225972,5.2,1,-2.5,1,ucac4,NaN,NaN,,0.257084708,0,https://talk.diskdetective.org/#/subjects/AWI00008jh,14.283,0.05,12.626,0.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
AWI00062aj,30.58816667,19.38988889,388080,30.5881916,19.3899118,0.118202269,J020221.16+192323.6,AWI00062aj,145.0947504,-40.4101702,8.013,0.023,8.045,0.02,7.944,0.019,7.071,0.096,8.09,0.024,8.051,0.023,8.01,0.018,0.039,0.041,99.999,99.999,99.999,99.999,99.999,99.999,9.999,9.999,9.999,9.999,9.999,9.999,42841989,0.014958911,0,9.36E+16,8.38609771,0.003289375,0.010946232,5.580190691,0.298925326,7.531088496,0.070032275,-7.528181026,0.043725836,9.36E+16,0.075868559,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8587,0.344003,2,0.940401882,45,306216222,7.53109,0.0700323,-7.52818,0.0437258,tgas,5.58019,0.298925,tgas,0.071318901,0,https://talk.diskdetective.org/#/subjects/AWI00062aj,8.522,0.026,8.4,0.014,9.758,0.001,11.085,0.002,10.593,0.003,10.946,0.003,9.281,0.001,TRUE,FALSE,FALSE,FALSE
AWI0005w6v,33.36254167,42.32313889,352798,33.3625816,42.3231534,0.118434115,J021327.01+421923.3,AWI0005w6v,138.7343915,-18.0180856,8.58,0.024,8.602,0.021,8.414,0.027,6.992,0.108,8.701,0.018,8.633,0.024,8.629,0.017,0.068,0.004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,3.51E+17,9.150385972,0.001204227,0.010509527,4.875451094,0.293295338,25.37005032,0.719997183,-14.72940127,0.470751354,3.51E+17,0.122808619,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,0.122571413,68,292721569,25.3701,0.719997,-14.7294,0.470751,tgas,4.87545,0.293295,tgas,0.423407087,0,https://talk.diskdetective.org/#/subjects/AWI0005w6v,9.423,0.032,9.114,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TRUE,FALSE,FALSE,FALSE
